umi_length,mse_naive,mse_pred,mse_naive_ci2p5,mse_naive_ci97p5,mse_pred_ci2p5,mse_pred_ci97p5,sse_naive,sse_pred
1,1.1342741250991821,0.7928286790847778,0.0033754209871403873,8.091565489768982,0.0001794521558622364,6.822938442230225,125.90443420410156,88.00398254394531
2,0.38770678639411926,0.04673535376787186,0.00014117085811449215,3.6209928393363953,6.56126815101743e-06,0.5233909487724304,43.03545379638672,5.187624454498291
3,0.06994763016700745,0.0009330873726867139,5.761957072536461e-05,0.6861974745988846,4.19748964475275e-08,0.00324541621375829,7.764187335968018,0.10357269644737244
4,0.007917883805930614,0.00021514786931220442,3.184030106240243e-07,0.07769371941685677,7.935298214079012e-07,0.0005296681774780154,0.8788851499557495,0.02388141304254532
5,0.000740320305339992,3.268106956966221e-05,2.576310365043355e-08,0.006510492181405425,2.905162510558057e-08,0.00010451003618072718,0.08217555284500122,0.003627598751336336
6,7.456069579347968e-05,8.323549991473556e-06,4.5059096009936184e-08,0.0006652862357441336,2.615146099671506e-09,4.226498185744276e-05,0.008276237174868584,0.0009239140199497342
7,9.550361937726848e-06,3.386562866580789e-06,1.3767795792318793e-09,8.46662533149356e-05,4.176797574473312e-09,1.2553498891065829e-05,0.0010600901441648602,0.00037590847932733595
8,3.0663802590424893e-06,2.4626335743960226e-06,8.719354127606493e-10,1.2679551446126425e-05,7.102727295205113e-10,8.73342355589557e-06,0.00034036822034977376,0.00027335231425240636
9,2.568659056123579e-06,2.510183321646764e-06,1.8649508604084986e-09,5.710846835427219e-06,2.6017694665370072e-09,5.48253092347295e-06,0.0002851211465895176,0.00027863035211339593
10,1.4462916624324862e-06,1.439552193005511e-06,7.016582870278398e-10,2.9663648319910862e-06,1.428233531441947e-09,2.961484312891116e-06,0.00016053837316576391,0.00015979028830770403
11,3.7071200154059625e-07,3.697116994771932e-07,6.655032080971068e-11,1.3366314419727132e-06,3.135980364277202e-11,1.328768973962724e-06,4.114903276786208e-05,4.1037998016690835e-05
12,0.0,5.657816663090509e-12,0.0,0.0,1.4210854715202004e-14,4.4565240386873484e-11,0.0,6.28017637893663e-10
